"Orders","Bestellungen"
"Transactions","Transaktionen"
"Logs","Protokolle"
"Transactionstatus","Transaktionsstatus"
"API","API"
"Configuration","Konfiguration"
"General","Allgemein"
"Payment","Zahlarten"
"PROTECT","PROTECT"
"Payment-Methods","Zahlarten"
"Misc","Sonstiges"
"Export Configuration","Konfiguration exportieren"
"Configuration-Wizard","Konfigurationsassistent"
"Information","Information"
"Support","Support-Anfrage"
"No","Nein"

"Merchant-ID","Merchant-ID"
"Sub-Account-ID","Sub-Account-ID"
"Security Key","Sicherheitsschlüssel"
"Authorize-Method","Autorisierungsmethode"
"Transmit IP Address","IP Adresse übertragen"
"If your shop is behind a Proxy. Enable this option to transmit the HTTP_X_FORWARDED_FOR","Aktivieren Sie diese Option zur Übertragung der IP aus dem Feld HTTP_X_FORWARDED_FOR. Dies ist nur notwendig, wenn Ihr Shop hinter einen Proxy-Server läuft."
"Send Invoicing Information","Rechnungsinformationen versenden"
"Enable PDF Download","PDF Download aktivieren"
"Transmit Invoice Information","Rechnungsinformationen übertragen"
"Dynamic Invoice Message","Dynamischer Text auf der Rechnung"
"Dynamic Refund Message","Dynamischer Text auf der Gutschrift"
"Maximum 255 digits. Placeholders: {{order_increment_id}}, {{order_id}}, {{customer_increment_id}}, {{customer_id}}, {{invoice_increment_id}}","Maximal 255 Zeichen. Platzhalter: {{order_increment_id}}, {{order_id}}, {{customer_increment_id}}, {{customer_id}}, {{invoice_increment_id}}"
"Maximum 255 digits. Placeholders: {{order_increment_id}}, {{order_id}}, {{customer_increment_id}}, {{customer_id}}, {{creditmemo_increment_id}}, {{invoice_increment_id}}, {{invoice_id}}","Maximal 255 Zeichen. Platzhalter: {{order_increment_id}}, {{order_id}}, {{customer_increment_id}}, {{customer_id}}, {{creditmemo_increment_id}}, {{invoice_increment_id}}, {{invoice_id}}"
"Status Mapping","Status Mapping"
"Payment Creditcard","Kreditkartenzahlung"
"Minimum Order Total","Minimaler Warenwert"
"Maximum Order Total","Maximaler Warenwert"
"Minimum Validity Period","Mindest-Gültigkeitszeitraum"
"Minimum period a CreditCard has to be valid. (in days)","Minimaler benötigter Gültigkeits-Zeitraum bevor Kreditkarten abgelehnt werden (in Tagen)"
"Narrative Text","Buchungstext"
"Maximum 81 digits. Placeholders: {{order_increment_id}}","Maximal 81 Zeichen. Platzhalter: {{order_increment_id}}"
"Maximum 3 lines à 27 digits. Placeholders: {{order_increment_id}}","Maximal 3 Zeilen à 27 Zeichen. Platzhalter: {{order_increment_id}}"

"-- Please Select --","-- Bitte auswählen --"
"Sort order","Reihenfolge"
"New Advance Payment","Vorkasse"
"Add Advance Payment","Vorkasse hinzufügen"
"Edit Advance Payment","Vorkasse bearbeiten"
"New Cash on Delivery","Nachnahme"
"Add Cash On Delivery","Nachnahme hinzufügen"
"Edit Cash On Delivery","Nachnahme bearbeiten"
"New Creditcard","Kreditkarte"
"Add Creditcard","Kreditkarte hinzufügen"
"Edit Creditcard","Kreditkarte bearbeiten"
"New Debit Payment","Lastschrift"
"Add Debit Payment","Lastschrift hinzufügen"
"Edit Debit Payment","Lastschrift bearbeiten"
"New Invoice","Rechnung"
"Add Invoice","Rechnung hinzufügen"
"Edit Invoice","Rechnung bearbeiten"
"New Online Bank Transfer","Onlineüberweisung"
"Add Online Bank Transfer","Onlineüberweisung hinzufügen"
"Edit Online Bank Transfer","Onlineüberweisung bearbeiten"
"New Wallet","Wallet"
"Add Wallet","Wallet hinzufügen"
"Edit Wallet","Wallet bearbeiten"
"New Financing","Finanzierung"
"Add Financing","Finanzierung hinzufügen"
"Edit Financing","Finanzierung bearbeiten"
"New Safe Invoice","Sicherer Rechnungskauf"
"Add Safe Invoice","Sicheren Rechnungskauf hinzufügen"
"Edit Safe Invoice","Sicheren Rechnungskauf bearbeiten"
"Type","Art"
"Store-ID","Store-ID"
"Add Store-ID","Store-ID hinzufügen"
"Required when using Klarna","Pflicht bei Verwendung von Klarna"
"Scope","Geltungsbereich"
"Countries","Länder"
"Fee","Gebühr"
"Use Global Settings","Nutze Globale-Einstellungen"
"Creditcard-Type","Kartentyp"
"Check Card Validation Code","Prüfe Kartenprüfnummer"
"Validate bank code","Prüfe Bankverbindung"
"List of supported SEPA countries","Liste der unterstützten Kontoländer"
"Show additional account number/bank code number","Zusätzlich Kontonummer/Bankleitzahl anzeigen"
"Only for German accounts","Nur bei Deutschen Konten"
"Mandate enabled","Mandatserteilung aktivieren"
"Pay request 'managemandate', includes bankaccountcheck. No query of the POS block list is possible","Der Kostenpflichtiger Request 'managemandate', beinhaltet einen bankaccountcheck. Keine Abfrage der POS-Sperrliste ist möglich"
"Mandate download enabled","Download Mandat als PDF"
"Can be selected only if the product in PAYONE was posted 'SEPA-Mandate as PDF'", "Diese Option kann nur ausgewählt werden, wenn bei PAYONE das Produkt 'SEPA-Mandate als PDF' gebucht wurde"
"Your mandate as PDF","Ihr Mandat als PDF"
"Bank code validation type", "Art der Bankverbindungsprüfung"
"Banktransfer-Type","Überweisungsart"
"Requires PAYONE API access.","Benötigt PAYONE API-Zugang"
"PaymentMethod-Config was successfully saved.","Zahlart-Konfiguration erfolgreich gespeichert."
"Unable to find PaymentMethod-Config to save.","Zahlart-Konfiguration wurde nicht gefunden."
"PaymentMethod-Config does not exist.","Zahlart-Konfiguration existiert nicht."
"PaymentMethod Config was successfully deleted.","Zahlart-Konfiguration erfolgreich gelöscht."
"Wallet-Type","Walletart"
"Wallet Type","Walletart"
"Financing Type", "Finanzierungs-Art"
"Safe Invoice Type", "Sicherer Rechnungskauf: Typ"

"Creditcard","Kreditkarte"
"Invoice","Rechnung"
"Safe Invoice","Sicherer Rechnungskauf"
"Debit Payment","Lastschrift"
"Financing","Finanzierung"
"Advance Payment","Vorkasse"
"Online Bank Transfer","Onlineüberweisung"
"Cash on Delivery","Nachnahme"
"Wallet","Wallet"
"Transactionstatus-Message","Transaktionsstatus-Meldung"
"Magento-Status","Magento-Status"
"Add Statusmapping","Füge Statusmapping hinzu"

"Addresscheck","Adressprüfung"
"Enabled","Aktiviert"
"Disabled","Deaktiviert"
"Check Billing Address","Prüfe Rechnungsadresse"
"Check Shipping Address","Prüfe Lieferadresse"
"Please note that you can use these options only, if you subscribe to the invoicing module of PAYONE.","Bitte beachten Sie, dass Sie diese Optionen nur dann nutzen können, wenn Sie das Modul Invoicing von PAYONE beauftragt haben."
"Please note that you can only use this option, if you subscribe to the invoicing module of PAYONE.","Bitte beachten Sie, dass Sie diese Option nur dann nutzen können, wenn Sie das Modul Invoicing von PAYONE beauftragt haben."
"Personstatus Mapping","Personstatusmapping"
"Add Personstatus Mapping","Füge Personstatusmapping hinzu"
